GeneID,Symbol,Entry,Entry Name,Gene Names
4952,OCRL,Q01968,OCRL_HUMAN,OCRL OCRL1
27163,NAAA,Q02083,NAAA_HUMAN,NAAA ASAHL PLT
5604,MAP2K1,Q02750,MP2K1_HUMAN,MAP2K1 MEK1 PRKMK1
8763,CD164,Q04900,MUC24_HUMAN,CD164
5590,PRKCZ,Q05513,KPCZ_HUMAN,PRKCZ PKC2
3831,KLC1,Q07866,KLC1_HUMAN,KLC1 KLC KNS2
10188,TNK2,Q07912,ACK1_HUMAN,TNK2 ACK1
389541,LAMTOR4,Q0VGL1,LTOR4_HUMAN,LAMTOR4 C7orf59
162,AP1B1,Q10567,AP1B1_HUMAN,AP1B1 ADTB1 BAM22 CLAPB2
9897,WASHC5,Q12768,WASC5_HUMAN,WASHC5 KIAA0196
3373,HYAL1,Q12794,HYAL1_HUMAN,HYAL1 LUCA1
3798,KIF5A,Q12840,KIF5A_HUMAN,KIF5A NKHC1
8692,HYAL2,Q12891,HYAL2_HUMAN,HYAL2 LUCA2
288,ANK3,Q12955,ANK3_HUMAN,ANK3
8131,NPRL3,Q12980,NPRL3_HUMAN,NPRL3 C16orf35 CGTHBA MARE
7375,USP4,Q13107,UBP4_HUMAN,USP4 UNP UNPH
2904,GRIN2B,Q13224,NMDE2_HUMAN,GRIN2B NMDAR2B
1118,CHIT1,Q13231,CHIT1_HUMAN,CHIT1
1201,CLN3,Q13286,CLN3_HUMAN,CLN3 BTS
8120,AP3B2,Q13367,AP3B2_HUMAN,AP3B2
4647,MYO7A,Q13402,MYO7A_HUMAN,MYO7A USH1B
4534,MTM1,Q13496,MTM1_HUMAN,MTM1 CG2
8878,SQSTM1,Q13501,SQSTM_HUMAN,SQSTM1 ORCA OSIL
427,ASAH1,Q13510,ASAH1_HUMAN,ASAH1 ASAH HSD-33 HSD33
7805,LAPTM5,Q13571,LAPM5_HUMAN,LAPTM5 KIAA0085
6642,SNX1,Q13596,SNX1_HUMAN,SNX1
8031,NCOA4,Q13772,NCOA4_HUMAN,NCOA4 ARA70 ELE1 RFG
950,SCARB2,Q14108,SCRB2_HUMAN,SCARB2 CD36L2 LIMP2 LIMPII
5137,PDE1C,Q14123,PDE1C_HUMAN,PDE1C
23650,TRIM29,Q14134,TRI29_HUMAN,TRIM29 ATDC
8448,DOC2A,Q14183,DOC2A_HUMAN,DOC2A
2318,FLNC,Q14315,FLNC_HUMAN,FLNC ABPL FLN2
8678,BECN1,Q14457,BECN1_HUMAN,BECN1 GT197
4077,NBR1,Q14596,NBR1_HUMAN,NBR1 1A13B KIAA0049 M17S2 MIG19
8720,MBTPS1,Q14703,MBTP1_HUMAN,MBTPS1 KIAA0091 S1P SKI1
54734,RAB39A,Q14964,RB39A_HUMAN,RAB39A RAB39
23516,SLC39A14,Q15043,S39AE_HUMAN,SLC39A14 KIAA0062 ZIP14
23209,MLC1,Q15049,MLC1_HUMAN,MLC1 KIAA0027 WKL1
6009,RHEB,Q15382,RHEB_HUMAN,RHEB RHEB2
23531,MMD,Q15546,PAQRB_HUMAN,MMD PAQR11
