GeneID,Symbol,Entry,Entry Name,Gene Name
84067,FHIP1B,Q8N612,FHI1B_HUMAN,KIAA1759
55332,DRAM1,Q8N682,DRAM1_HUMAN,DRAM1
55332,DRAM1,Q8N682,DRAM1_HUMAN,DRAM
121260,SLC15A4,Q8N697,S15A4_HUMAN,SLC15A4
121260,SLC15A4,Q8N697,S15A4_HUMAN,PHT1
121260,SLC15A4,Q8N697,S15A4_HUMAN,PTR4
121260,SLC15A4,Q8N697,S15A4_HUMAN,FP12591
26175,LYSET,Q8N6I4,LYSET_HUMAN,LYSET
26175,LYSET,Q8N6I4,LYSET_HUMAN,C14orf109
26175,LYSET,Q8N6I4,LYSET_HUMAN,TMEM251
220441,RNF152,Q8N8N0,RN152_HUMAN,RNF152
220002,CYB561A3,Q8NBI2,CYAC3_HUMAN,CYB561A3
220002,CYB561A3,Q8NBI2,CYAC3_HUMAN,CYBASC3
220002,CYB561A3,Q8NBI2,CYAC3_HUMAN,PSEC0259
51092,SIDT2,Q8NBJ9,SIDT2_HUMAN,SIDT2
51092,SIDT2,Q8NBJ9,SIDT2_HUMAN,CGI-40
51092,SIDT2,Q8NBJ9,SIDT2_HUMAN,PSEC0072
51092,SIDT2,Q8NBJ9,SIDT2_HUMAN,UNQ685/PRO1325
255738,PCSK9,Q8NBP7,PCSK9_HUMAN,PCSK9
255738,PCSK9,Q8NBP7,PCSK9_HUMAN,NARC1
255738,PCSK9,Q8NBP7,PCSK9_HUMAN,PSEC0052
81567,TXNDC5,Q8NBS9,TXND5_HUMAN,TXNDC5
81567,TXNDC5,Q8NBS9,TXND5_HUMAN,TLP46
81567,TXNDC5,Q8NBS9,TXND5_HUMAN,UNQ364/PRO700
153129,SLC38A9,Q8NBW4,S38A9_HUMAN,SLC38A9
153129,SLC38A9,Q8NBW4,S38A9_HUMAN,URLC11
25940,FAM98A,Q8NCA5,FA98A_HUMAN,FAM98A
23659,PLA2G15,Q8NCC3,PAG15_HUMAN,PLA2G15
23659,PLA2G15,Q8NCC3,PAG15_HUMAN,LYPLA3
23659,PLA2G15,Q8NCC3,PAG15_HUMAN,UNQ341/PRO540
84255,SLC37A3,Q8NCC5,SPX3_HUMAN,SLC37A3
84255,SLC37A3,Q8NCC5,SPX3_HUMAN,SPX3
84937,ZNRF1,Q8ND25,ZNRF1_HUMAN,ZNRF1
84937,ZNRF1,Q8ND25,ZNRF1_HUMAN,NIN283
5289,PIK3C3,Q8NEB9,PK3C3_HUMAN,PIK3C3
5289,PIK3C3,Q8NEB9,PK3C3_HUMAN,VPS34
162514,TRPV3,Q8NET8,TRPV3_HUMAN,TRPV3
201163,FLCN,Q8NFG4,FLCN_HUMAN,FLCN
201163,FLCN,Q8NFG4,FLCN_HUMAN,BHD
258010,SVIP,Q8NHG7,SVIP_HUMAN,SVIP
223082,ZNRF2,Q8NHG8,ZNRF2_HUMAN,ZNRF2
223082,ZNRF2,Q8NHG8,ZNRF2_HUMAN,RNF202
196463,PLBD2,Q8NHP8,PLBL2_HUMAN,PLBD2
256471,MFSD8,Q8NHS3,MFSD8_HUMAN,MFSD8
256471,MFSD8,Q8NHS3,MFSD8_HUMAN,CLN7
219931,TPCN2,Q8NHX9,TPC2_HUMAN,TPCN2
219931,TPCN2,Q8NHX9,TPC2_HUMAN,TPC2
57599,WDR48,Q8TAF3,WDR48_HUMAN,WDR48
57599,WDR48,Q8TAF3,WDR48_HUMAN,KIAA1449
57599,WDR48,Q8TAF3,WDR48_HUMAN,UAF1
64798,DEPTOR,Q8TB45,DPTOR_HUMAN,DEPTOR
64798,DEPTOR,Q8TB45,DPTOR_HUMAN,DEPDC6
57709,SLC7A14,Q8TBB6,S7A14_HUMAN,SLC7A14
57709,SLC7A14,Q8TBB6,S7A14_HUMAN,KIAA1613
92799,SHKBP1,Q8TBC3,SHKB1_HUMAN,SHKBP1
92799,SHKBP1,Q8TBC3,SHKB1_HUMAN,SB1
92799,SHKBP1,Q8TBC3,SHKB1_HUMAN,PP203
81615,TMEM163,Q8TC26,TM163_HUMAN,TMEM163
132671,SPATA18,Q8TC71,MIEAP_HUMAN,SPATA18
132671,SPATA18,Q8TC71,MIEAP_HUMAN,MIEAP
55016,MARCHF1,Q8TCQ1,MARH1_HUMAN,MARCHF1
55016,MARCHF1,Q8TCQ1,MARH1_HUMAN,1-Mar
55016,MARCHF1,Q8TCQ1,MARH1_HUMAN,RNF171
56928,SPPL2B,Q8TCT7,SPP2B_HUMAN,SPPL2B
56928,SPPL2B,Q8TCT7,SPP2B_HUMAN,IMP4
56928,SPPL2B,Q8TCT7,SPP2B_HUMAN,KIAA1532
56928,SPPL2B,Q8TCT7,SPP2B_HUMAN,PSL1
84888,SPPL2A,Q8TCT8,SPP2A_HUMAN,SPPL2A
84888,SPPL2A,Q8TCT8,SPP2A_HUMAN,IMP3
84888,SPPL2A,Q8TCT8,SPP2A_HUMAN,PSL2
84888,SPPL2A,Q8TCT8,SPP2A_HUMAN,PSEC0147
151636,DTX3L,Q8TDB6,DTX3L_HUMAN,DTX3L
151636,DTX3L,Q8TDB6,DTX3L_HUMAN,BBAP
55283,MCOLN3,Q8TDD5,MCLN3_HUMAN,MCOLN3
63915,BLOC1S5,Q8TDH9,BL1S5_HUMAN,BLOC1S5
63915,BLOC1S5,Q8TDH9,BL1S5_HUMAN,MUTED
9821,RB1CC1,Q8TDY2,RBCC1_HUMAN,RB1CC1
9821,RB1CC1,Q8TDY2,RBCC1_HUMAN,KIAA0203
9821,RB1CC1,Q8TDY2,RBCC1_HUMAN,RBICC
79589,RNF128,Q8TEB7,RN128_HUMAN,RNF128
140775,SMCR8,Q8TEV9,SMCR8_HUMAN,SMCR8
96459,FNIP1,Q8TF40,FNIP1_HUMAN,FNIP1
96459,FNIP1,Q8TF40,FNIP1_HUMAN,KIAA1961
949,SCARB1,Q8WTV0,SCRB1_HUMAN,SCARB1
949,SCARB1,Q8WTV0,SCRB1_HUMAN,CD36L1
949,SCARB1,Q8WTV0,SCRB1_HUMAN,CLA1
10641,NPRL2,Q8WTW4,NPRL2_HUMAN,NPRL2
10641,NPRL2,Q8WTW4,NPRL2_HUMAN,TUSC4
9392,TGFBRAP1,Q8WUH2,TGFA1_HUMAN,TGFBRAP1
91782,CHMP7,Q8WUX9,CHMP7_HUMAN,CHMP7
112770,GLMP,Q8WWB7,GLMP_HUMAN,GLMP
112770,GLMP,Q8WWB7,GLMP_HUMAN,C1orf85
112770,GLMP,Q8WWB7,GLMP_HUMAN,PSEC0030
